time_zone_id,transition_id,offset,is_dst,abbreviation
1,0,-968,0,LMT
1,1,0,0,GMT
2,0,-52,0,LMT
2,1,1200,1,GHST
2,2,0,0,GMT
3,0,8836,0,LMT
3,1,10800,0,EAT
3,2,9000,0,BEAT
3,3,9900,0,BEAUT
3,4,10800,0,EAT
4,0,561,0,PMT
4,1,3600,1,WEST
4,2,0,0,WET
4,3,0,0,WET
4,4,7200,1,CEST
4,5,3600,0,CET
4,6,3600,1,WEST
5,0,8836,0,LMT
5,1,10800,0,EAT
5,2,9000,0,BEAT
5,3,9900,0,BEAUT
5,4,10800,0,EAT
6,0,8836,0,LMT
6,1,10800,0,EAT
6,2,9000,0,BEAT
6,3,9900,0,BEAUT
6,4,10800,0,EAT
7,0,-968,0,LMT
7,1,0,0,GMT
8,0,816,0,LMT
8,1,3600,0,WAT
9,0,-968,0,LMT
9,1,0,0,GMT
10,0,-3740,0,LMT
10,1,-3600,0,WAT
10,2,0,0,GMT
11,0,7820,0,LMT
11,1,7200,0,CAT
12,0,816,0,LMT
12,1,3600,0,WAT
13,0,7820,0,LMT
13,1,7200,0,CAT
14,0,10800,1,EEST
14,1,7200,0,EET
14,2,10800,1,EEST
15,0,-1820,0,LMT
15,1,3600,1,WEST
15,2,0,0,WET
15,3,3600,0,CET
15,4,0,0,WET
16,0,0,0,WET
16,1,3600,1,WEST
16,2,3600,1,WEST
16,3,0,0,WET
16,4,3600,0,CET
16,5,7200,1,CEST
16,6,3600,0,CET
17,0,-968,0,LMT
17,1,0,0,GMT
18,0,-968,0,LMT
18,1,0,0,GMT
19,0,8836,0,LMT
19,1,10800,0,EAT
19,2,9000,0,BEAT
19,3,9900,0,BEAUT
19,4,10800,0,EAT
20,0,8836,0,LMT
20,1,10800,0,EAT
20,2,9000,0,BEAT
20,3,9900,0,BEAUT
20,4,10800,0,EAT
21,0,816,0,LMT
21,1,3600,0,WAT
22,0,-3168,0,LMT
22,1,-3600,0,WAT
22,2,3600,1,WEST
22,3,0,0,WET
23,0,-968,0,LMT
23,1,0,0,GMT
24,0,7820,0,LMT
24,1,7200,0,CAT
25,0,7820,0,LMT
25,1,7200,0,CAT
26,0,5400,0,SAST
26,1,10800,1,SAST
26,2,7200,0,SAST
27,0,7808,0,LMT
27,1,10800,1,CAST
27,2,7200,0,CAT
27,3,10800,0,EAT
28,0,8836,0,LMT
28,1,10800,0,EAT
28,2,9000,0,BEAT
28,3,9900,0,BEAUT
28,4,10800,0,EAT
29,0,7808,0,LMT
29,1,10800,1,CAST
29,2,7200,0,CAT
29,3,10800,0,EAT
30,0,7820,0,LMT
30,1,7200,0,CAT
31,0,816,0,LMT
31,1,3600,0,WAT
32,0,816,0,LMT
32,1,3600,0,WAT
33,0,816,0,LMT
33,1,3600,0,WAT
34,0,-968,0,LMT
34,1,0,0,GMT
35,0,816,0,LMT
35,1,3600,0,WAT
36,0,7820,0,LMT
36,1,7200,0,CAT
37,0,7820,0,LMT
37,1,7200,0,CAT
38,0,816,0,LMT
38,1,3600,0,WAT
39,0,7820,0,LMT
39,1,7200,0,CAT
40,0,5400,0,SAST
40,1,10800,1,SAST
40,2,7200,0,SAST
41,0,5400,0,SAST
41,1,10800,1,SAST
41,2,7200,0,SAST
42,0,8836,0,LMT
42,1,10800,0,EAT
42,2,9000,0,BEAT
42,3,9900,0,BEAUT
42,4,10800,0,EAT
43,0,-2588,0,MMT
43,1,-2670,0,LRT
43,2,0,0,GMT
44,0,8836,0,LMT
44,1,10800,0,EAT
44,2,9000,0,BEAT
44,3,9900,0,BEAUT
44,4,10800,0,EAT
45,0,3612,0,LMT
45,1,3600,0,WAT
45,2,7200,1,WAST
46,0,816,0,LMT
46,1,3600,0,WAT
47,0,-968,0,LMT
47,1,0,0,GMT
48,0,-968,0,LMT
48,1,0,0,GMT
49,0,816,0,LMT
49,1,3600,0,WAT
50,0,-968,0,LMT
50,1,0,0,GMT
51,0,-968,0,LMT
51,1,0,0,GMT
52,0,3164,0,LMT
52,1,7200,1,CEST
52,2,3600,0,CET
52,3,7200,0,EET
53,0,561,0,PMT
53,1,7200,1,CEST
53,2,3600,0,CET
53,3,3600,0,CET
53,4,7200,1,CEST
54,0,5400,0,SWAT
54,1,7200,0,SAST
54,2,10800,1,SAST
54,3,7200,0,CAT
54,4,7200,1,WAST
54,5,3600,0,WAT
55,0,-39600,0,NST
55,1,-36000,1,NWT
55,2,-36000,1,NPT
55,3,-39600,0,BST
55,4,-36000,1,BDT
55,5,-36000,0,AHST
55,6,-32400,1,HDT
55,7,-36000,0,HST
56,0,-36000,0,CAT
56,1,-32400,1,CAWT
56,2,-32400,1,CAPT
56,3,-36000,0,AHST
56,4,-32400,1,AHDT
56,5,-32400,0,YST
56,6,-28800,1,AKDT
56,7,-32400,0,AKST
57,0,-14764,0,LMT
57,1,-14400,0,AST
58,0,-14764,0,LMT
58,1,-14400,0,AST
59,0,-11568,0,LMT
59,1,-7200,1,BRST
59,2,-10800,0,BRT
60,0,-15408,0,CMT
60,1,-14400,0,ART
60,2,-10800,1,ARST
60,3,-7200,1,ARST
60,4,-10800,0,ART
61,0,-15408,0,CMT
61,1,-14400,0,ART
61,2,-10800,1,ARST
61,3,-7200,1,ARST
61,4,-10800,0,ART
61,5,-14400,0,WART
61,6,-10800,0,ART
62,0,-15408,0,CMT
62,1,-14400,0,ART
62,2,-10800,1,ARST
62,3,-7200,1,ARST
62,4,-10800,0,ART
62,5,-14400,0,WART
62,6,-10800,0,ART
63,0,-15408,0,CMT
63,1,-14400,0,ART
63,2,-10800,1,ARST
63,3,-7200,1,ARST
63,4,-10800,0,ART
63,5,-14400,0,WART
63,6,-10800,0,ART
64,0,-15408,0,CMT
64,1,-14400,0,ART
64,2,-10800,1,ARST
64,3,-7200,1,ARST
64,4,-10800,0,ART
64,5,-14400,0,WART
64,6,-10800,1,WARST
